2020-09-28 14:32:00,486|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/quang-liem-thua-wesley-so-4167855.html
2020-09-28 14:32:00,537|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/nhung-dieu-can-biet-khi-du-hoc-my-4168006.html
2020-09-28 14:32:00,702|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hoc-sinh-lop-10-gianh-huy-chuong-vang-olympic-toan-quoc-te-4168050.html
2020-09-28 14:32:00,796|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/bon-cach-de-lang-nghe-con-tot-nhat-4167763.html
2020-09-28 14:32:00,878|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hoc-sinh-lop-8-roi-tu-tang-hai-xuong-dat-4167705.html
2020-09-28 14:32:00,925|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/quy-mo-sinh-vien-cua-10-dai-hoc-tot-nhat-the-gioi-4167669.html
2020-09-28 14:32:01,098|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/lam-the-nao-nuoi-day-tre-song-ngu-4167613.html
2020-09-28 14:32:01,176|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/the-duc-tri-nao-voi-nam-cau-do-4167679.html
2020-09-28 14:32:01,223|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/thu-khoa-ky-thi-dai-hoc-o-afghanistan-4167751.html
2020-09-28 14:32:01,301|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/nam-hoc-moi-con-nhieu-kho-khan-cua-hoc-sinh-vung-cao-4166844.html
2020-09-28 14:32:01,379|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/lam-gi-khi-tre-gian-du-4167381.html
2020-09-28 14:32:01,473|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/hang-tram-tre-hoc-o-hoi-truong-thon-4167148.html
